LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
Italy,HOSPITALBED,TOT,1000HAB,A,2015,3.2,
Italy,HOSPITALBED,TOT,1000HAB,A,2016,3.17,
Italy,HOSPITALBED,TOT,1000HAB,A,2017,3.18,
Korea,HOSPITALBED,TOT,1000HAB,A,2015,11.61,
Korea,HOSPITALBED,TOT,1000HAB,A,2016,11.98,
Korea,HOSPITALBED,TOT,1000HAB,A,2017,12.27,
Switzerland,HOSPITALBED,TOT,1000HAB,A,2015,4.58,
Switzerland,HOSPITALBED,TOT,1000HAB,A,2016,4.55,
Switzerland,HOSPITALBED,TOT,1000HAB,A,2017,4.53,
USA,HOSPITALBED,TOT,1000HAB,A,2015,2.8,
USA,HOSPITALBED,TOT,1000HAB,A,2016,2.77,
India,HOSPITALBED,TOT,1000HAB,A,2015,0.58,
India,HOSPITALBED,TOT,1000HAB,A,2016,0.48,
India,HOSPITALBED,TOT,1000HAB,A,2017,0.53,
Indonesia,HOSPITALBED,TOT,1000HAB,A,2015,0.98,
Indonesia,HOSPITALBED,TOT,1000HAB,A,2016,0.99,
Indonesia,HOSPITALBED,TOT,1000HAB,A,2017,1.04,
