,level_0,index,SNo,ObservationDate,Province/State,Country,Last Update,Confirmed,Deaths,Recovered
0,0,0.0,32.0,2020-01-22 00:00:00,All,USA,,1.0,0.0,0.0
1,1,0.0,70.0,2020-01-23 00:00:00,All,USA,,1.0,0.0,0.0
2,2,0.0,237.0,2020-01-24 00:00:00,All,USA,,2.0,0.0,0.0
3,3,0.0,319.0,2020-01-25 00:00:00,All,USA,,2.0,0.0,0.0
4,4,0.0,818.0,2020-01-26 00:00:00,All,USA,,5.0,0.0,0.0
5,5,0.0,1006.0,2020-01-27 00:00:00,All,USA,,5.0,0.0,0.0
6,6,0.0,1210.0,2020-01-28 00:00:00,All,USA,,5.0,0.0,0.0
7,7,0.0,1418.0,2020-01-29 00:00:00,All,USA,,5.0,0.0,0.0
8,8,0.0,1638.0,2020-01-30 00:00:00,All,USA,,5.0,0.0,0.0
9,9,0.0,1922.0,2020-01-31 00:00:00,All,USA,,6.0,0.0,0.0
10,10,0.0,3888.0,2020-02-01 00:00:00,All,USA,,8.0,0.0,0.0
11,11,0.0,4360.0,2020-02-02 00:00:00,All,USA,,8.0,0.0,0.0
12,12,0.0,5508.0,2020-02-03 00:00:00,All,USA,,11.0,0.0,0.0
13,13,0.0,6062.0,2020-02-04 00:00:00,All,USA,,11.0,0.0,0.0
14,14,0.0,7461.0,2020-02-05 00:00:00,All,USA,,12.0,0.0,0.0
15,15,0.0,8100.0,2020-02-06 00:00:00,All,USA,,12.0,0.0,0.0
16,16,0.0,8748.0,2020-02-07 00:00:00,All,USA,,12.0,0.0,0.0
17,17,0.0,9396.0,2020-02-08 00:00:00,All,USA,,12.0,0.0,0.0
18,18,0.0,10047.0,2020-02-09 00:00:00,All,USA,,12.0,0.0,3.0
19,19,0.0,10695.0,2020-02-10 00:00:00,All,USA,,12.0,0.0,3.0
20,20,0.0,12611.0,2020-02-11 00:00:00,All,USA,,13.0,0.0,3.0
21,21,0.0,13341.0,2020-02-12 00:00:00,All,USA,,13.0,0.0,3.0
22,22,0.0,15478.0,2020-02-13 00:00:00,All,USA,,15.0,0.0,3.0
23,23,0.0,16299.0,2020-02-14 00:00:00,All,USA,,15.0,0.0,3.0
24,24,0.0,17124.0,2020-02-15 00:00:00,All,USA,,15.0,0.0,3.0
25,25,0.0,17949.0,2020-02-16 00:00:00,All,USA,,15.0,0.0,3.0
26,26,0.0,18774.0,2020-02-17 00:00:00,All,USA,,15.0,0.0,3.0
27,27,0.0,19599.0,2020-02-18 00:00:00,All,USA,,15.0,0.0,3.0
28,28,0.0,20435.0,2020-02-19 00:00:00,All,USA,,15.0,0.0,3.0
29,29,0.0,21271.0,2020-02-20 00:00:00,All,USA,,15.0,0.0,3.0
30,30,0.0,32196.0,2020-02-21 00:00:00,All,USA,,35.0,0.0,5.0
31,31,0.0,33542.0,2020-02-22 00:00:00,All,USA,,35.0,0.0,5.0
32,32,0.0,34886.0,2020-02-23 00:00:00,All,USA,,35.0,0.0,5.0
33,33,0.0,38612.0,2020-02-24 00:00:00,All,USA,,53.0,0.0,5.0
34,34,0.0,40203.0,2020-02-25 00:00:00,All,USA,,53.0,0.0,6.0
35,35,0.0,41912.0,2020-02-26 00:00:00,All,USA,,59.0,0.0,6.0
36,36,0.0,43669.0,2020-02-27 00:00:00,All,USA,,60.0,0.0,6.0
37,37,0.0,45564.0,2020-02-28 00:00:00,All,USA,,62.0,0.0,7.0
38,38,0.0,53141.0,2020-02-29 00:00:00,All,USA,,70.0,1.0,7.0
