,Infected,Recovered,Hospitalized,Critical Care
0,0.0,0.0,0.0,0.0
1,0.3195375716101103,0.001484160506849831,0.03410622804912462,4.256837969182838e-05
2,0.4690896194740263,0.009883746925739442,0.10639088623298365,0.00027154241812306877
3,0.542181132272823,0.028040001404548827,0.19008038451083667,0.0007324165365703292
4,0.5787015019741382,0.056579340461329286,0.27346889418094733,0.0013913009589282255
5,0.6080573941083782,0.09521046177455306,0.3527373039088513,0.0021856243869190226
6,0.6503507265628147,0.14350376946728136,0.4290953410124825,0.0030523496420725746
7,0.7206276070156501,0.20137592119374703,0.506822729902537,0.0039416302751693185
8,0.8341003007587442,0.2694070334864461,0.5924556849670009,0.0048224837643215945
9,1.0117387769536497,0.3491287051317483,0.6950826558611161,0.005685114870491088
10,1.287141748109651,0.4434178330887463,0.8277531675050233,0.00654286388437889
11,1.7170087568852308,0.5571485201682281,1.0103091911578561,0.007435932343981756
12,2.399454879791787,0.6983255645185364,1.2745169051895535,0.00843919405054547
13,3.508028670251653,0.8800880126459943,1.6733768182459103,0.009677675749749383
14,5.356825343551461,1.1243091443509516,2.298381136077986,0.01135624624386566
15,8.527910262782015,1.4681943998032039,3.312266229856098,0.013816134360485562
16,14.12579529635789,1.9766409694870148,5.012596805521231,0.017643374279025036
17,24.295637997706248,2.765917661790562,7.957891319941389,0.02388033062581005
18,43.29812547590116,4.0500558724934175,13.22296552984404,0.03444693232256442
19,79.77778303108205,6.233715009851514,22.925920588712803,0.05299871801233845
20,151.62549101371928,10.101923216213194,41.33535244245346,0.08671528601481956
21,296.54814338892356,17.215206599344697,77.23467870402655,0.15011247422253904
22,595.3170385344614,30.74682915178891,149.0438327751567,0.27334252364569894
23,1223.384953000528,57.28425578168781,296.0496492695748,0.5206233024749323
24,2566.22820001533,110.75617022918674,603.2678412368213,1.0318826517535704
25,5477.787387989525,221.0820210162447,1256.8409403421717,2.118294891028223
26,11858.10820173964,453.3591010843502,2667.787406338486,4.484116173743155
27,25930.56141920719,950.5493616597806,5747.558859567326,9.74596707444611
28,56992.51729310929,2028.151140987532,12513.979226550886,21.651059801415553
29,124995.0177647208,4381.412199923192,27383.74787730046,48.91311995173593
30,270327.75230496447,9524.4553854688,59745.20119377319,111.64064350350158
31,564628.4012819243,20655.90847119227,128294.65602073059,254.97613191150356
32,1099267.8834958912,44106.27630646718,265401.85906815866,573.8683795910671
33,1896641.7716201493,90910.29832549303,512376.06189624255,1243.1689055976879
34,2765342.7578850845,176439.36393833,891219.6507877844,2515.3022995246197
35,3362271.0643921085,315545.6182952697,1367274.3438377841,4628.325944905424
36,3503407.326662414,515363.722909349,1856279.1373688122,7654.955628553454
37,3258219.503463576,772178.8125811557,2274804.024329005,11430.102312734856
38,2789254.215017829,1073976.3402959595,2573850.6836054255,15609.795127651942
39,2232967.110158677,1404934.9659625452,2739219.6427687053,19784.265406373557
40,1675935.1289265067,1748973.2838348243,2779265.244522903,23571.768320931773
41,1165924.4166615473,2091793.274556835,2713726.2978337915,26672.992012463514
42,725766.4830009335,2421795.7030026014,2566445.371342703,28892.606408810214
43,363238.02013116295,2730308.4479691484,2361193.10511793,30139.17847081046
44,77312.09465248337,3011436.4430574845,2119479.133269868,30412.585463266256
45,-137969.72595724647,3261723.273054469,1859554.8239570516,29785.273363588247
46,-291084.2695229633,3479736.7162143816,1596113.9328303307,28381.53772066779
47,-391510.83871158026,3665643.217899836,1340392.3242097497,26357.477157408586
48,-448781.3966989605,3820807.7305679717,1100484.8808771595,23883.207303104016
49,-471898.9312015766,3947437.883413633,881767.4657693898,21128.17641940997
50,-469001.6657851436,4048280.81107114,687354.4219757275,18249.904514308568
51,-447193.87671503244,4126374.178857935,518548.98124786944,15386.106509622476
52,-412490.1177983715,4184849.257362249,375260.96645833884,12649.922710041583
53,-369835.2163625402,4226781.112108294,256378.15951845015,10127.83463844775
54,-323173.3652906272,4255080.395408185,160084.683745734,7879.768132717714
55,-275546.4783617748,4272420.270757602,84125.49601496555,5940.865734782642
56,-229207.5193826896,4281192.352751221,26019.09601249861,4324.427498439413
57,-185738.49066773252,4283485.814957095,-16777.238050025782,3025.5641860807004
58,-146165.91349663286,4281084.389620082,-46744.2588142013,2025.1682939895582
59,-111069.07339351771,4275476.592553854,-66213.60502334898,1293.8816411651235
60,-80678.14130054602,4267875.201919408,-77310.71892202266,795.8124573458425
61,-54960.63477591279,4259242.680464931,-81922.10842081875,491.828577419436
62,-33695.642240572786,4250319.866495968,-81681.72457751223,342.3203522784837
63,-16535.913660920472,4241655.844967016,-77971.80967220014,309.38544672484466
64,-3058.3773058009324,4233637.435995092,-71934.22334602616,358.43491551148014
65,7196.022571031133,4226517.191156463,-64488.882865713225,459.25654409216804
66,14692.063394447076,4220439.168060661,-56356.57036301076,586.5965436199166
67,19878.329205997918,4215462.0609634975,-48083.92358154153,720.3358795408442
68,23172.347972131796,4211579.500482942,-40068.929923342905,845.3442839555169
69,24951.494652020912,4208737.5110161705,-32585.684420894584,951.094709731778
70,25548.44483575855,4206849.229869221,-25807.547073855712,1031.1157092703593
71,25250.04514170411,4205807.072697203,-19828.141209762493,1082.3504793391264
72,24298.626109419867,4205492.570583644,-14679.888967864157,1104.480310365035
73,22894.92501212007,4205784.117975747,-10349.967034907026,1099.2586831413032
74,21201.965310431766,4206562.881345703,-6793.712568507214,1069.8906283782787
75,19349.380753853766,4207717.110984023,-3945.616779127626,1020.4809922603348
76,17437.833501870165,4209145.086113947,-1728.1041423506756,955.5659622176629
77,15543.280937256995,4210756.914343635,-58.342303446608106,879.7339175525076
78,13720.955324090955,4212475.393169945,1146.6575982154675,797.3353308725403
79,12008.982819805247,4214236.124960379,1966.3882498236194,712.2765402907448
80,10431.609885642352,4215987.063393239,2474.3890162538432,627.8887820169881
81,9002.037781061697,4217687.64870679,2736.7512645385923,546.8617827665402
82,7724.887792928037,4219307.670272906,2811.3774782822625,471.2301761106742
83,6598.312986434742,4220825.9750178,2747.8103719114342,402.40088700868574
84,5615.784213960305,4222229.11719313,2587.4765375278857,341.21016722344734
85,4767.576518204388,4223510.0242726775,2364.2143180879284,288.00003247826976
86,4041.9842953773623,4224666.734713903,2104.9812819628783,242.70518395206616
87,3426.2880400475483,4225701.245177701,1830.6580054188644,204.9430123855119
88,2907.504631381852,4226618.489728143,1556.8849377524145,174.1008789098906
89,2472.947506345095,4227425.461589589,1294.8859613210234,149.4163866754942
90,2110.623204387883,4228130.4779872075,1052.2461783400245,130.0477437050919
91,1809.4931653811548,4228742.582337769,833.6230516617751,115.1325488034433
92,1559.6250930138249,4229271.072708577,641.3790271594161,103.83439389173643
93,1352.2577043861113,4229725.142585535,476.13079321761484,95.37749178012626
94,1179.800144716487,4230113.619307586,337.21544087892227,89.07016102941104
95,1035.783525653771,4230444.784203039,223.07746501251242,84.31844033859934
96,914.7803002640984,4230726.26004174,131.58283918531987,80.63135725695773
97,812.3039590143803,4230964.951933137,60.26784388551654,77.61949613701917
98,724.699017737914,4231167.029379408,6.530973026021169,74.98850481571695
99,649.0286622987259,4231337.939025566,-32.22380765555242,72.52907797917558
100,582.9654954889468,4231482.438987914,-58.48439517200141,70.10480015270981
101,524.6893732802422,4231604.64743275,-74.56108799669578,67.63902672315584
102,472.7946742955154,4231708.099482894,-82.54365581295156,65.10175991076947
103,426.2081739419747,4231795.807863693,-84.27913065914132,62.4972543955809
104,384.11811612426396,4231870.323962488,-81.36532922959711,59.85287068758925
105,345.9141782048632,4231933.796729038,-75.15589149590261,57.20950415174265
106,311.13776914916593,4231988.027866204,-66.77342399194781,54.61375148287611
107,279.44177103186104,4232034.522279542,-57.127948291997555,52.11183565522548
108,250.55863274519345,4232074.533308313,-46.938482701640645,49.745208400839815
109,224.27569696874224,4232109.102598939,-36.756066258230206,47.547670857219494
110,200.41668047461113,4232139.094772615,-26.986967736204736,45.543804318604046
111,178.8281342050358,4232165.227194708,-17.915162854931648,43.74847659541381
112,159.37004052572226,4232188.095274632,-9.72345149456958,42.16718387272663
113,141.90951711067274,4232208.19377183,-2.5128020925685313,40.7969958738125
114,126.31701670506726,4232225.934586938,3.6802979725779714,39.62789487136686
115,112.4642913598503,4232241.661523334,8.868598950815157,38.644323237474204
116,100.22365135358456,4232255.662467123,13.100942343820709,37.826789039317276
117,89.46807377485095,4232268.179377705,16.45114043364614,37.15341138156388
118,80.07185156504113,4232279.416460672,19.00876205489359,36.60131855245461
119,71.91153220509077,4232289.546822342,20.871666012388516,36.14784316429858
120,64.86698199444234,4232298.717881378,22.140108866054995,35.77148336106575
121,58.82242515478216,4232307.055759986,22.91224360660118,35.452621161975294
122,53.6674049497866,4232314.668845137,23.280825053769114,35.17400597524425
123,49.29758264088209,4232321.650677754,23.330941930592875,34.921023995407936
124,45.61538210749741,4232328.082296445,23.138606088591143,34.68178230257621
125,42.5304451770686,4232334.03414617,22.770039707638304,34.44704141966221
126,39.95991088457485,4232339.567634668,22.281517497111015,34.21003141258881
127,37.82853149097746,4232344.73640785,21.719633464207195,33.96618591040233
128,36.068634439340585,4232349.5874017775,21.121880809336893,33.712825513259865
129,34.61995513255037,4232354.161715045,20.517445941374778,33.448818237454745
130,33.42936041844965,4232358.495337945,19.928135206489273,33.17423980112989
131,32.45048211346411,4232362.619769239,19.369366444865964,32.890051635720766
132,31.643282381574057,4232366.562540572,18.851170996222507,32.59780963241548
133,30.973569384403337,4232370.347669409,18.379164693574655,32.29941197830156
134,30.4124815090015,4232373.996052962,17.955456420722047,31.99689060798385
135,29.93595705223073,4232377.525814823,17.579473571107265,31.69224715410464
136,29.52420112504518,4232380.952613293,17.24869065639493,31.387331919038093
137,29.161164283930724,4232384.289916631,16.959255926770027,31.083762155211662
138,28.834041809986477,4232387.549251457,16.706514469022913,30.782874790686513
139,28.532801114161092,4232390.740428341,16.485431696194777,30.48570788229709
140,28.24974356379187,4232393.871746472,16.290924116753295,30.19300487488844
141,27.97910551278165,4232396.950179886,16.11810657917699,29.905235772395237
142,27.716699904923374,4232399.981547075,15.962465985386928,29.62262998808109
143,27.45959975606907,4232402.970665192,15.819972618880108,29.345215940138885
144,27.205863889569414,4232405.921489778,15.6871398135306,29.07286349455354
145,26.954302535670426,4232408.837240812,15.561042711434167,28.805325983347945
146,26.704280398928823,4232411.720515729,15.439305576189088,28.54227943751797
147,26.455555804293525,4232414.573390356,15.32006643096796,28.283357320324225
148,26.2081505715506,4232417.397508122,15.201926479227172,28.028179759652662
149,25.962248257374373,4232420.194158221,15.083890848746305,27.776376855297606
150,25.718117303302485,4232422.964343796,14.965305441643544,27.527606055770704
151,25.47605434134316,4232425.708840445,14.845794194795015,27.28156397482992
152,25.23634495115548,4232428.428246067,14.725199581483757,27.037993236134575
153,24.999238222062495,4232431.123022597,14.603528472853082,26.79668511812795
154,24.76493250900708,4232433.793530699,14.48090447493975,26.557478807152513
155,24.533569448966176,4232436.4400579315,14.357527554647751,26.320258089692903
156,24.305234124118225,4232439.0628413,14.233640936211646,26.084946276224265
157,24.079959406506553,4232441.6620849455,14.109504971854145,25.85150004195702
158,23.857732845970357,4232444.237973564,13.985377556832837,25.61990283012421
159,23.6385049774671,4232446.79068238,13.861500138846386,25.390158256261355
160,23.422198019198188,4232449.320384162,13.738088658163313,25.162283918175227
161,23.208714278670517,4232451.827253897,13.615328476684647,24.936305868852916
162,22.99794380989778,4232454.311471597,13.493372468368518,24.712253915284155
163,22.789771032070337,4232456.773223693,13.372341475291545,24.490157809798454
164,22.58408013820542,4232459.212703335,13.252326487473296,24.270044372369796
165,22.38075930505274,4232461.63011,13.133391867613367,24.05193545979312
