,Infected,Recovered,Hospitalized,Critical Care
0,0.0,0.0,0.0,0.0
1,0.02102841914769959,0.00017964642147126343,0.0020711180103112565,6.724138753925661e-06
2,0.03695120173199515,0.0008472529814986774,0.007243768564400563,2.7755798024657892e-05
3,0.04967786547501158,0.0023191597380482244,0.014442780738637966,6.304377758486954e-05
4,0.06030671590984331,0.004806524843542924,0.0229254156565639,0.00011229154583725921
5,0.06997431742733277,0.008450418901372256,0.032243133762309854,0.00017578686124830104
6,0.07982097583130214,0.013358180964889596,0.042207678561321106,0.00025505304221566617
7,0.09101338371542411,0.019636447260085378,0.052859300552406605,0.0003536549655816591
8,0.10481899958538829,0.027422241279137036,0.06444622886091037,0.00047826177829511895
9,0.12273488015222156,0.0369150456877678,0.07742297908432934,0.0006401562814128347
10,0.1466855768338493,0.04841417014242482,0.09247469464047896,0.0008575199913900888
11,0.1793233921798735,0.062368036812276914,0.1105772540300035,0.0011590562187085316
12,0.22449417656933676,0.07944535893958904,0.13310808257642706,0.0015899139808891155
13,0.28798598707138046,0.10064460402532757,0.16203343872026763,0.002221599652947194
14,0.37876865544288296,0.12746920080716556,0.20021674688166163,0.0031688836837581178
15,0.5111132480370558,0.16221677496482587,0.251927082660885,0.004619173332377417
16,0.7083185590534214,0.20847023034598064,0.32369072240888436,0.006884549462441863
17,1.0094627547043868,0.2719548822962754,0.4257490777795214,0.010495918970676657
18,1.482010867697734,0.3620794477330872,0.5746225550491025,0.016377376620015933
19,2.246133467643728,0.4947953498087446,0.797755739999968,0.026177471132087262
20,3.5232768141256114,0.6980862876146724,1.1422141786700557,0.04291651809064135
21,5.736883682403657,1.0229028213579154,1.6915590733781845,0.07229112205003763
22,9.729946935830013,1.5658285391327837,2.5998926767793122,0.12539389974737147
23,17.256165022153652,2.5181363515809005,4.163531917174633,0.22459919090065977
24,32.14341927224477,4.277052505141695,6.9790804363811745,0.41683432320308983
25,63.198011521327004,7.711297190292573,12.31023293256004,0.8048898196269303
26,131.87967367954312,14.830955465026914,22.987648025780935,1.6250700672088494
27,293.8851675082295,30.58268816304603,45.75525743609836,3.450682550231194
28,704.0936849607001,67.98883222842335,97.80948857554935,7.7587380261580465
29,1826.8262752674034,163.95398404613195,226.39698117485864,18.61753765316688
30,5171.526234027421,431.7947106976994,572.3286129087862,48.094623393504435
31,16073.31262119884,1250.493287612683,1593.2475149147544,135.0045796138286
32,54815.95012257731,3999.0056921936934,4908.046452133825,415.1956987306116
33,199125.77313544368,13982.991708175214,16555.708498929445,1399.7990215943387
34,676895.573377094,50155.76894443846,57131.67823936422,5011.920075714771
35,1640289.0516223458,155423.79320175934,168149.2694551265,17004.460867531077
36,2600769.5628879378,360423.76267288363,362646.97853968974,46938.90904992965
37,3230788.9862019327,653525.7104552069,600027.2594728891,101643.51877802302
38,3528979.4687132193,1010434.9469662083,833495.7983956747,181454.8168029943
39,3538445.92593706,1407108.6568454814,1027492.8001843711,281309.6093374743
40,3315384.207871925,1821398.0441883453,1158761.6839379114,392667.78667226183
41,2926141.3739731964,2234208.2687680107,1215945.798456929,505362.896566029
42,2441447.1089024753,2630540.2940865424,1198465.3669991056,609261.0113837172
43,1928172.2778006876,3000055.209751028,1114581.063760764,695619.2696267113
44,1440890.5590204543,3336931.951996099,978733.0041837312,758037.431699243
45,1016153.4207857393,3639048.5832525757,808499.1980168865,792934.1997785365
46,671481.6298962977,3906780.603254324,621702.29991462,799553.6457375635
47,408883.0658511693,4141826.4730966063,434175.55740335817,779591.4864584113
48,220652.32353640517,4346371.101039328,258460.28007192665,736589.7147793128
49,94761.49088514043,4522666.885008813,103384.88036503892,675256.5656850499
50,18365.688455108204,4672918.509977429,-25741.714198810427,600831.9026393269
51,-20515.18292847494,4799303.493939181,-126620.3942872963,518563.7943139639
52,-32383.337093319336,4904013.104226456,-199344.80739314752,433317.27987403615
53,-26097.79938898154,4989269.157110217,-245785.37492544902,349310.66996332875
54,-8875.886614821531,5057312.775129486,-269022.82662619743,269963.70118183736
55,13625.578845003154,5110373.777732372,-272853.4385185979,197838.14786968764
56,37177.41390785062,5150630.212696731,-261376.38746091462,134650.83751463096
57,58810.76265168196,5180165.61948513,-238666.38773333372,81339.80546262382
58,76630.1660763842,5200929.485323029,-208529.26853223064,38166.045051709785
59,89620.01949553496,5214704.495357303,-174334.2174851733,4835.534816877763
60,97455.08626728601,5223082.583087697,-138913.52825605212,-19371.13902792878
61,100323.39853938088,5227450.54088217,-104519.17872244102,-35471.593643796194
62,98767.46525732623,5228984.976603731,-72824.86077427946,-44664.293540838866
63,93547.51860206077,5228655.72321406,-44962.26458443548,-48226.028735710825
64,85528.56540233988,5227236.358293589,-21581.12575531329,-47427.099349302654
65,75591.39349498886,5225320.264166465,-2923.7350072464897,-43465.31071767917
66,64566.41100445222,5223340.584809656,11094.012315510354,-37418.48025789296
67,53188.24081286754,5221592.5022121435,20801.402213991394,-30214.092167360774
68,42068.38599979031,5220256.410718128,26696.375096402367,-22614.029253911318
69,31682.933689734382,5219420.766711495,29377.114850623566,-15211.868511254423
70,22372.197616820376,5219103.665719311,29483.841259766996,-8440.094401196593
71,14349.263409081002,5219272.412606528,27651.85113849135,-2584.564838210209
72,7714.659792359152,5219860.624895267,24475.889240461715,2196.224071304587
73,2474.709117363425,5220782.611541815,20485.27512877013,5849.257160461049
74,-1438.4973156487904,5221944.963162035,16128.706132491709,8404.33687451517
75,-4147.140726023381,5223255.442552597,11767.342256794469,9952.097478486163
76,-5808.966134615958,5224629.379524936,7674.625751283661,10623.781972100265
77,-6600.680002228604,5225993.85411554,4041.2576833565327,10573.518841706496
78,-6703.971518439166,5227290.001198163,983.8238303045479,9963.52028410263
79,-6294.391667707823,5228473.78837642,-1444.2942683298077,8952.360562507536
80,-5533.095488994188,5229515.616262898,-3240.901191355875,7686.280980518973
81,-4561.277044620403,5230399.069459603,-4442.826220742308,6293.305528345636
82,-3497.005194403295,5231119.112551829,-5114.362719921348,4879.840842628546
83,-2434.094529591426,5231679.983776808,-5336.843326624685,3529.3692048659655
84,-1442.6090538036387,5232092.993631542,-5199.692620694807,2302.813395004129
85,-570.5926226147465,5232374.389696756,-4793.1320996768145,1240.1540965086224
86,153.35480335275233,5232543.403629862,-4202.572218219306,362.90965699951494
87,717.0006992349629,5232620.558902719,-3504.625212741448,-322.8734886237074
88,1121.195135717659,5232626.280215413,-2764.5854166490008,-823.4154097733553
89,1376.6152260467397,5232579.819139188,-2035.1801711775088,-1154.0221920128718
90,1500.7189253823176,5232498.486911204,-1356.3632768546986,-1336.1115321362893
91,1515.0345317791641,5232397.169323459,-755.9169170749826,-1394.571149629549
